
;;; DAFTAR STOK BARANG; ; ; ; ;
;;; PER TANGGAL: 19-02-22; ; ; ; ;
NO.;KODE;BARCODE; NAMA BARANG;STOK;SATUAN;@HG.POKOK;@HG.JUAL;@HG.JUAL2;@HG.JUAL3;BTS3;@HG.JUAL4;BTS4;@HG.JUAL5;BTS5;JML_POKOK
115;'007253;'8992959001875; SWEETY SILVER S1; -3;PCS;1497;1700;1800;0;0;0;0;0;0;-4491
116;'002155;'8998866200554; TEA JUS ALL VARIANT 10SCT; -1;PCS;2750;2900;2900;0;0;0;0;0;0;-2750
117;'001837;'8992780010121; TEH 2 TANG HIJAU; -10;PCS;4200;4500;4700;0;0;0;0;0;0;-42000
118;'001842;'8992780010084; TEH 2TANG PREMIUM; -20;PCS;7200;7600;7800;0;0;0;0;0;0;-144000
119;'001844;'8992780010091; TEH 2TANG SUPER; -12;PCS;5300;5700;5800;0;0;0;0;0;0;-63600
120;'003732;'TL4; TELOR 1/4KG; -2;PCS;4450;5500;0;0;0;0;0;0;0;-8900
121;'003745;'8993093105009; TEPUNG TAPIOKA 500G; -1;PCS;3280;4000;4000;0;0;0;0;0;0;-3280
122;'003747;'003747; TEPUNG TIGA RODA; -2;PCS;2175;44000;0;0;0;0;0;0;0;-4350
123;'003749;'003749; TERIGU /KG; -5;PCS;7100;7700;7700;0;0;0;0;0;0;-35500
124;'003750;'003750; TERIGU 1/2KG; -1;PCS;3400;3900;0;0;0;0;0;0;0;-3400
125;'006780;'8998898101409; TOLAK ANGIN CAIR 15ML; -62;PCS;2916;3150;3250;0;0;0;0;0;0;-180792
126;'006781;'8998898280401; TOLAK ANGIN FLU 15ML; -7;PCS;3000;3500;3500;0;0;0;0;0;0;-21000
127;'006783;'8998898335408; TOLAK LINU HERBAL 15ML; -1;PCS;2500;2800;3000;0;0;0;0;0;0;-2500
128;'001872;'8992936254027; TONG TJI SUPERTEA; -2;PCS;5500;6200;6200;0;0;0;0;0;0;-11000
129;'006933;'8993587789999; TUTON SUPER; -3;PCS;12325;12700;13500;0;0;0;0;0;0;-36975
130;'006937;'8991914101049; VIPER RED 16; -3;PCS;14200;14500;14600;0;0;0;0;0;0;-42600
131;'001075;'8996001351871; WAFELLO CARAMEL 28G 10SCT; -1;PCS;7938;8500;8500;0;0;0;0;0;0;-7938
132;'000677;'8992741950206; YUPI APPLE RING 45GR; -2;PCS;3500;4000;4000;0;0;0;0;0;0;-7000
133;'001545;'8992741973595; YUPI FRUIT COCKTAIL BOX; -2;PCS;10260;10750;10750;0;0;0;0;0;0;-20520
134;'001556;'8992741983396; YUPI JUST FOR FUN BOX; -1;PCS;9600;10000;10000;0;0;0;0;0;0;-9600

